% f evaluations | g evaluations | best noise-free fitness - Fopt | noise-free fitness - Fopt (7.948000000000e+01) | measured fitness | best measured fitness | x1 | x2...
% f evaluations | g evaluations | best noise-free fitness - Fopt | noise-free fitness - Fopt (-1.000000000000e+03) | measured fitness | best measured fitness | x1 | x2...
1 0 +2.961425408e+01 +2.961425408e+01 -9.703857459e+02 -9.703857459e+02 +0.0000e+00 +0.0000e+00
4 0 +3.634254080e+00 +3.634254080e+00 -9.963657459e+02 -9.963657459e+02 -2.5000e+00 +2.5000e+00
16 0 +5.555040800e-01 +5.555040800e-01 -9.994444959e+02 -9.994444959e+02 -4.3750e+00 +4.3750e+00
% f evaluations | g evaluations | best noise-free fitness - Fopt | noise-free fitness - Fopt (-2.531000000000e+01) | measured fitness | best measured fitness | x1 | x2...
1 0 +2.451324928e+01 +2.451324928e+01 -7.967507200e-01 -7.967507200e-01 +0.0000e+00 +0.0000e+00
6 0 +1.262492800e-01 +1.262492800e-01 -2.518375072e+01 -2.518375072e+01 +3.7500e+00 +3.7500e+00
42 0 +1.253212985e-01 +1.253212985e-01 -2.518467870e+01 -2.518467870e+01 +3.7480e+00 +3.7504e+00
% f evaluations | g evaluations | best noise-free fitness - Fopt | noise-free fitness - Fopt (2.228000000000e+01) | measured fitness | best measured fitness | x1 | x2...
1 0 +5.153022080e+00 +5.153022080e+00 +2.743302208e+01 +2.743302208e+01 +0.0000e+00 +0.0000e+00
3 0 +1.705022080e+00 +1.705022080e+00 +2.398502208e+01 +2.398502208e+01 +2.5000e+00 -2.5000e+00
23 0 +6.460845800e-01 +6.460845800e-01 +2.292608458e+01 +2.292608458e+01 +2.1875e+00 -1.5625e+00
41 0 +6.416117073e-01 +6.416117073e-01 +2.292161171e+01 +2.292161171e+01 +2.1875e+00 -1.5732e+00
% f evaluations | g evaluations | best noise-free fitness - Fopt | noise-free fitness - Fopt (3.561400000000e+02) | measured fitness | best measured fitness | x1 | x2...
1 0 +2.402345600e+00 +2.402345600e+00 +3.585423456e+02 +3.585423456e+02 +0.0000e+00 +0.0000e+00
15 0 +7.045956000e-01 +7.045956000e-01 +3.568445956e+02 +3.568445956e+02 +6.2500e-01 -6.2500e-01
38 0 +4.849989355e-01 +4.849989355e-01 +3.566249989e+02 +3.566249989e+02 +2.0260e+00 -9.2835e-01
48 0 +4.437083284e-01 +4.437083284e-01 +3.565837083e+02 +3.565837083e+02 +7.9911e-01 -6.1989e-01
% f evaluations | g evaluations | best noise-free fitness - Fopt | noise-free fitness - Fopt (-4.757000000000e+02) | measured fitness | best measured fitness | x1 | x2...
