generation,surplus_at_select
1,60
2,60
generation,surplus_at_select
1,60
generation,surplus_at_select
1,60
generation,surplus_at_select
1,60
2,60
3,60
generation,surplus_at_select
1,60
generation,surplus_at_select
1,60
2,60
generation,surplus_at_select
1,60
generation,surplus_at_select
1,60
2,60
generation,surplus_at_select
1,60
generation,surplus_at_select
1,60
generation,surplus_at_select
1,60
2,60
generation,surplus_at_select
1,60
2,60
generation,surplus_at_select
1,60
2,60
generation,surplus_at_select
1,60
2,60
generation,surplus_at_select
1,60
2,60
